Local;26/fev;27/fev;28/fev;29/fev;01/mar;02/mar;03/mar;04/mar;05/mar;06/mar;07/mar;08/mar;09/mar;10/mar;11/mar;12/mar;13/mar;14/mar;15/mar;16/mar;17/mar;18/mar;19/mar;20/mar;21/mar;22/mar;23/mar;24/mar;25/mar;26/mar;27/mar;28/mar;29/mar;;
Acre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;9;11;11;17;23;24;25;25;34;;
Alagoas;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;4;5;7;7;7;9;11;11;11;14;17;;
Amapá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;4;4;;
Amazonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;11;26;32;47;54;67;81;111;140;;
Bahia;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;3;3;30;33;41;49;63;76;84;104;115;128;154;;
Ceará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;20;55;68;112;163;182;200;235;282;314;348;;
Distrito Federal;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;6;8;13;22;26;42;87;100;117;133;160;160;200;230;260;289;;
Espírito Santo;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;11;13;26;26;29;33;39;39;47;53;60;;
Goiás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;8;12;15;20;21;23;27;29;39;49;56;58;;
Maranhão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;8;8;10;13;14;16;;
Mato Grosso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;7;8;11;11;13;16;;
Mato Grosso do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;7;9;16;21;21;23;24;25;28;31;36;;
Minas Gerais;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;5;7;15;29;35;38;83;128;130;133;153;189;205;231;;
Pará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;4;5;5;7;13;13;17;18;;
Paraíba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;3;5;9;14;14;;
Paraná;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;13;23;32;43;50;56;65;81;102;119;133;148;;
Pernambuco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;16;16;28;30;30;37;42;42;46;48;56;68;73;;
Piauí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;6;6;8;9;9;11;14;;
Rio de Janeiro;0;0;0;0;0;0;0;0;1;1;2;3;3;8;13;16;16;22;24;31;33;45;65;109;119;186;233;305;370;421;493;558;600;;
Rio Grande do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;6;9;13;13;14;19;28;45;68;;
Rio Grande do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;6;6;6;10;19;28;37;60;72;86;98;123;168;195;197;226;;
Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;5;5;6;6;6;;
Roraima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;8;10;12;16;;
Santa Catarina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;7;7;10;20;21;51;57;68;107;109;122;149;184;194;;
São Paulo;1;1;1;2;2;2;2;4;6;10;13;16;16;19;30;41;56;65;136;152;164;240;286;396;459;631;745;810;862;1052;1223;1406;1451;;
Sergipe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;6;6;10;10;10;15;16;16;16;16;16;;
Tocantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;5;7;7;7;8;9;9;;
Brasil;1;1;1;2;2;2;2;4;8;13;19;25;25;34;52;77;98;121;200;234;291;428;621;904;1128;1546;1891;2201;2433;2915;3417;3904;4256;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
