Estado,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,23/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020
Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alagoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2
Amapá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Amazonas,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,7,12,14,19
Bahia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,7,9,10
Ceará,0,0,0,0,0,0,0,0,0,3,3,4,5,5,7,8,20,22,22,26,29
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,7,7,10
Espírito Santo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,6
Goiás,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,5
Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
Mato Grosso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mato Grosso do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Minas Gerais,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,6,6,9
Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3
Paraíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4
Paraná,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,6,9,11
Pernambuco,0,0,0,0,0,0,0,0,1,3,4,5,5,6,6,8,9,10,14,21,30
Piauí,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4
Rio de Janeiro,0,0,2,2,3,3,4,6,6,9,10,13,17,18,23,28,41,47,58,64,71
Rio Grande do Norte,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,7,7
Rio Grande do Sul,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,5,5,6,7,7
Rondônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Roraima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Santa Catarina,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,5,10,10
São Paulo,1,4,4,9,15,22,30,40,48,58,68,84,98,113,136,164,188,219,260,275,304
Sergipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4
Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,1,4,6,11,18,25,34,46,57,77,92,114,136,159,201,241,299,359,432,486,553
