Regiao,Local,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020
Norte,Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,11,11,17,23,24,25,25,34,42,42,43,43,46,46,48,50,50,54,62,70,72,77,90,99,101,110,135,142,163,176,195,214,227,234,258,279,279,311,354,404,486,553,657,733,817,943,1014,1177,1335,1447,1460,1590,1694,1740,1785,1867,1997,2234,2482,2817,3103,3343,3867,4160,4501,4781,5251,5600,5841,6072,6219,6326,6465,6679,7021
Nordeste,Alagoas,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,5,7,7,7,9,11,11,11,14,17,17,18,18,18,22,23,28,31,32,37,37,45,48,48,50,72,82,89,110,132,159,171,210,243,324,413,501,554,643,777,957,1044,1226,1372,1441,1538,1606,1703,1867,2033,2172,2258,2343,2580,2761,2972,3212,3593,3816,4031,4316,4437,4916,5302,5630,6214,6682,7058,7580,8055,8618,9223,10288,10837,11559,12407,13097
Norte,Amapá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,8,10,11,11,19,28,29,34,48,107,128,166,193,230,242,307,334,362,370,393,416,433,457,479,548,633,685,798,842,918,1016,1080,1121,1187,1482,1733,1931,2046,2199,2322,2493,2613,2671,2910,3005,3428,3630,3834,3952,4023,4310,4549,5188,5655,6091,6353,6584,6967,7619,8152,8469,9313,9602,9890,10511,11107,11551
Norte,Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,11,26,32,47,54,67,81,111,140,151,175,200,229,260,311,417,532,636,804,899,981,1050,1206,1275,1484,1554,1719,1809,1897,2044,2160,2270,2479,2888,3194,3635,3833,3928,4337,4801,5254,5723,6062,6683,7313,8109,9243,10099,10727,11925,12599,12919,14168,15816,17181,18392,19677,20328,20913,22132,23704,25367,27038,28802,29867,30282,31949,33508,36146,38909,40560,41378,41774,43195,44347,46473
Nordeste,Bahia,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,30,33,41,49,63,76,84,104,115,128,154,176,213,246,267,282,332,401,431,456,497,559,604,635,673,723,759,807,951,1059,1193,1230,1341,1489,1644,1789,1962,2081,2209,2354,2540,2646,2851,3085,3315,3495,3708,4040,4301,4528,4818,5174,5558,5808,6204,6547,6955,8128,8314,8443,8581,11013,11197,11941,12557,13000,13899,14204,14566,15070,15963,16917,17626,18392,18898,21430,22451,23463
Nordeste,Ceará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,20,55,68,112,163,182,200,235,282,314,348,372,390,444,550,627,730,823,1013,1051,1291,1425,1478,1582,1676,1800,2005,2157,2386,2684,3034,3252,3482,3716,3910,4598,4800,5421,5833,6726,6918,7267,7606,7879,8309,8370,8501,11470,12304,13888,14956,15879,16692,17599,18412,19156,21077,22490,23795,24255,26363,28112,30560,31413,34573,35122,35595,36185,37021,37275,37821,38395,46506,48489,50504,53073,56056,59795
Centro-Oeste,Distrito Federal,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,6,8,13,22,26,42,87,100,117,133,160,160,200,230,260,289,312,332,355,370,402,454,468,473,492,509,527,555,579,614,638,651,682,716,746,762,827,872,881,946,963,989,1013,1066,1146,1213,1275,1356,1466,1566,1649,1768,1818,1906,2258,2442,2576,2682,2783,2979,3192,3416,3787,4140,4368,4619,4853,5161,5542,5948,6251,6638,6930,7210,7761,8300,8722,9474,9780,10510,11256,12020,12923
Sudeste,Espírito Santo,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9,11,13,26,26,29,33,39,39,47,53,60,72,84,96,120,139,153,166,194,209,227,273,300,349,383,430,463,557,754,856,952,1099,1168,1212,1313,1363,1381,1595,1703,1796,1874,2107,2465,2662,2985,3086,3162,3402,3568,3838,4242,4412,4599,4819,5087,5401,5813,6198,6595,6744,7157,7693,8092,8878,9520,9918,10007,10365,10889,11484,12203,12903,13437,13690,14069,15151,16121,16894
Centro-Oeste,Goiás,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,8,12,15,20,21,23,27,29,39,49,56,58,61,65,71,73,88,103,115,119,133,158,179,191,209,229,233,284,304,318,335,378,393,403,421,438,453,486,506,573,616,661,705,781,808,825,850,861,922,1024,1027,1053,1069,1093,1100,1115,1134,1423,1572,1640,1692,1749,1846,1978,2114,2304,2377,2443,2512,2671,2843,3090,3319,3585,3702,3906,4377,4570,4944
Nordeste,Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,8,10,13,14,16,23,31,54,71,81,88,96,133,172,230,273,293,344,398,445,478,630,695,797,1040,1205,1320,1396,1604,1757,1951,2105,2223,2410,2528,2804,3190,3506,3805,4040,4227,4530,5028,5389,5909,6765,7599,8144,8526,9112,9801,10739,11592,12492,13238,14198,15114,16058,17212,18767,21191,22786,24278,26145,27979,30482,32620,34639,35297,36625,38174,40629
