Estado,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,23/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020
Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Alagoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3
Amapá,,,,,,,,,,,,,,,,,,,,,,,
Amazonas,,,,,,,,,,,,,,,,,,,,,,,
Bahia,,,,,,,,,,,,,,,,,,,,,,,
Ceará,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,,,,,,,,,,,,,,,,,,,,,,,
Goiás,,,,,,,,,,,,,,,,,,,,,,,
Maranhão,,,,,,,,,,,,,,,,,,,,,,,
Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,
Mato Grosso do Sul,,,,,,,,,,,,,,,,,,,,,,,
Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,
Pará,,,,,,,,,,,,,,,,,,,,,,,
Paraíba,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,,,,,,,,,,,,,,,,,,,,,,
Pernambuco,,,,,,,,,,,,,,,,,,,,,,,
Piauí,,,,,,,,,,,,,,,,,,,,,,,
Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande do Norte,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande do Sul,,,,,,,,,,,,,,,,,,,,,,,
Rondônia,,,,,,,,,,,,,,,,,,,,,,,
Roraima,,,,,,,,,,,,,,,,,,,,,,,
Santa Catarina,,,,,,,,,,,,,,,,,,,,,,,
São Paulo,,,,,,,,,,,,,,,,,,,,,,,
Sergipe,,,,,,,,,,,,,,,,,,,,,,,
Tocantins,,,,,,,,,,,,,,,,,,,,,,,
Brasil,,,,,,,,,,,,,,,,,,,,,,,
